timeid,method,spot,districtid
2,neighborhood,hot,434
2,state,hot,434
2,neighborhood,hot,440
2,neighborhood,hot,454
2,neighborhood,hot,455
2,state,hot,455
2,neighborhood,hot,458
2,neighborhood,hot,459
2,state,cold,469
2,neighborhood,hot,477
2,neighborhood,hot,483
2,neighborhood,cold,488
2,neighborhood,hot,493
2,state,hot,493
2,neighborhood,hot,495
2,neighborhood,cold,499
2,neighborhood,cold,508
2,neighborhood,hot,511
2,neighborhood,cold,517
2,state,cold,538
2,neighborhood,cold,564
2,neighborhood,hot,571
2,neighborhood,cold,577
2,neighborhood,hot,583
2,neighborhood,hot,587
2,neighborhood,hot,590
2,neighborhood,hot,591
2,state,hot,591
2,neighborhood,cold,592
2,neighborhood,cold,595
2,neighborhood,hot,596
2,neighborhood,hot,599
2,state,hot,599
2,neighborhood,cold,601
2,neighborhood,cold,607
2,neighborhood,hot,611
2,neighborhood,hot,624
2,neighborhood,cold,639
2,neighborhood,hot,665
2,neighborhood,hot,669
2,state,hot,669
2,neighborhood,hot,671
2,state,hot,671
2,neighborhood,hot,672
2,neighborhood,hot,682
2,neighborhood,cold,685
2,neighborhood,cold,686
2,state,cold,699
2,neighborhood,hot,702
2,neighborhood,hot,715
2,neighborhood,cold,716
2,neighborhood,hot,718
2,neighborhood,cold,731
2,neighborhood,hot,746
3,neighborhood,hot,104
3,state,hot,104
3,neighborhood,hot,107
3,neighborhood,hot,108
3,neighborhood,hot,110
3,neighborhood,hot,114
3,neighborhood,cold,115
3,neighborhood,hot,116
3,state,hot,116
3,neighborhood,hot,117
3,neighborhood,hot,119
3,neighborhood,cold,120
3,neighborhood,hot,123
3,state,hot,123
3,neighborhood,hot,125
3,neighborhood,cold,126
3,neighborhood,cold,127
3,neighborhood,cold,129
3,neighborhood,hot,130
3,neighborhood,hot,131
3,neighborhood,hot,132
3,neighborhood,hot,138
3,neighborhood,hot,141
3,state,hot,141
3,neighborhood,hot,143
3,neighborhood,cold,146
3,neighborhood,cold,157
3,neighborhood,hot,159
3,neighborhood,hot,161
3,neighborhood,hot,163
3,state,hot,163
3,neighborhood,hot,165
3,neighborhood,hot,170
3,state,hot,170
3,neighborhood,hot,172
3,neighborhood,hot,177
3,neighborhood,cold,178
3,neighborhood,hot,179
3,state,hot,179
3,neighborhood,hot,180
3,state,hot,180
3,neighborhood,hot,185
3,state,hot,185
3,neighborhood,hot,186
3,neighborhood,cold,193
3,neighborhood,cold,202
3,neighborhood,hot,206
3,state,hot,206
3,neighborhood,hot,208
3,neighborhood,cold,211
3,neighborhood,hot,212
3,state,hot,212
3,neighborhood,cold,217
3,neighborhood,cold,219
3,neighborhood,cold,225
3,neighborhood,hot,226
3,neighborhood,cold,228
3,state,hot,228
3,neighborhood,hot,229
3,neighborhood,hot,231
3,neighborhood,cold,234
3,neighborhood,cold,235
3,neighborhood,hot,239
3,neighborhood,hot,240
3,state,hot,240
3,neighborhood,hot,242
3,state,hot,242
3,neighborhood,hot,247
3,state,hot,247
3,neighborhood,cold,250
3,neighborhood,cold,252
3,state,cold,252
3,neighborhood,cold,257
3,neighborhood,hot,263
3,neighborhood,hot,267
3,state,hot,267
3,state,cold,273
3,neighborhood,cold,279
3,neighborhood,hot,281
3,neighborhood,hot,282
3,neighborhood,hot,283
3,state,hot,283
3,neighborhood,hot,284
3,neighborhood,hot,285
3,neighborhood,hot,286
3,state,hot,286
3,neighborhood,hot,292
3,state,hot,292
3,state,hot,294
3,neighborhood,hot,295
3,state,hot,295
3,neighborhood,hot,301
3,state,hot,301
3,neighborhood,cold,308
3,neighborhood,hot,309
3,state,hot,309
3,neighborhood,cold,310
3,neighborhood,hot,319
3,neighborhood,hot,323
3,neighborhood,cold,326
3,state,hot,328
3,neighborhood,hot,332
3,state,hot,332
3,neighborhood,hot,333
3,neighborhood,hot,335
3,state,hot,335
3,neighborhood,cold,341
3,neighborhood,hot,347
3,state,hot,347
3,neighborhood,hot,350
3,neighborhood,cold,351
3,neighborhood,hot,353
3,neighborhood,hot,354
3,neighborhood,cold,356
3,state,cold,356
3,neighborhood,cold,358
3,neighborhood,hot,360
3,state,hot,360
3,neighborhood,hot,378
3,state,hot,378
3,neighborhood,hot,380
3,neighborhood,cold,381
3,neighborhood,cold,383
3,neighborhood,cold,384
3,state,cold,387
3,state,hot,392
3,neighborhood,cold,395
3,neighborhood,cold,396
3,neighborhood,hot,398
3,state,hot,398
3,neighborhood,cold,406
3,state,cold,406
3,state,hot,410
3,neighborhood,cold,412
3,neighborhood,hot,413
3,state,hot,413
3,neighborhood,hot,417
3,neighborhood,hot,418
3,state,hot,418
3,state,cold,422
3,neighborhood,hot,424
3,state,hot,424
3,neighborhood,hot,425
3,neighborhood,cold,426
3,state,cold,426
3,state,hot,431
3,neighborhood,cold,432
3,state,cold,432
3,neighborhood,hot,433
3,state,hot,434
3,neighborhood,hot,435
3,neighborhood,hot,445
3,state,hot,445
3,neighborhood,hot,454
3,state,hot,454
3,neighborhood,hot,455
3,state,hot,455
3,neighborhood,hot,458
3,neighborhood,hot,459
3,neighborhood,hot,462
3,state,hot,462
3,neighborhood,cold,463
3,neighborhood,cold,466
3,state,cold,471
3,neighborhood,cold,474
3,state,cold,474
3,neighborhood,hot,477
3,neighborhood,hot,478
3,state,hot,478
3,neighborhood,cold,479
3,neighborhood,hot,481
3,neighborhood,cold,485
3,neighborhood,cold,489
3,neighborhood,hot,493
3,state,hot,493
3,neighborhood,hot,498
3,state,cold,500
3,neighborhood,hot,506
3,neighborhood,hot,507
3,state,hot,507
3,neighborhood,cold,508
3,neighborhood,cold,518
3,neighborhood,cold,519
3,state,cold,519
3,neighborhood,hot,520
3,neighborhood,cold,523
3,state,hot,526
3,neighborhood,cold,532
3,state,cold,532
3,state,hot,534
3,neighborhood,cold,536
3,neighborhood,hot,538
3,state,hot,538
3,neighborhood,cold,543
3,neighborhood,hot,545
3,neighborhood,hot,546
3,neighborhood,cold,548
3,neighborhood,hot,551
3,state,hot,551
3,neighborhood,cold,560
3,neighborhood,cold,561
3,neighborhood,cold,563
3,neighborhood,cold,564
3,neighborhood,hot,567
3,state,hot,567
3,neighborhood,cold,569
3,state,hot,570
3,neighborhood,hot,571
3,state,hot,571
3,neighborhood,cold,574
3,neighborhood,hot,576
3,state,hot,576
3,neighborhood,hot,583
3,neighborhood,hot,587
3,neighborhood,cold,588
3,neighborhood,cold,589
3,neighborhood,cold,595
3,neighborhood,cold,598
3,neighborhood,cold,600
3,neighborhood,hot,601
3,state,hot,601
3,neighborhood,hot,602
3,neighborhood,hot,607
3,neighborhood,cold,609
3,neighborhood,cold,610
3,state,cold,610
3,neighborhood,hot,611
3,neighborhood,cold,613
3,neighborhood,hot,627
3,neighborhood,hot,628
3,neighborhood,cold,629
3,neighborhood,cold,639
3,neighborhood,cold,642
3,neighborhood,cold,643
3,neighborhood,cold,645
3,neighborhood,cold,646
3,neighborhood,cold,651
3,neighborhood,hot,652
3,neighborhood,cold,654
3,neighborhood,cold,661
3,neighborhood,hot,663
3,state,hot,663
3,neighborhood,cold,665
3,state,cold,665
3,neighborhood,hot,672
3,neighborhood,hot,682
3,state,hot,682
3,neighborhood,hot,693
3,neighborhood,hot,696
3,state,cold,696
3,neighborhood,hot,697
3,neighborhood,hot,699
3,neighborhood,hot,700
3,neighborhood,cold,705
3,state,cold,705
3,neighborhood,hot,712
3,state,hot,712
3,neighborhood,hot,715
3,neighborhood,cold,716
3,neighborhood,cold,717
3,state,hot,718
3,neighborhood,cold,723
3,state,cold,725
3,state,cold,726
3,neighborhood,cold,730
3,state,hot,735
3,neighborhood,hot,742
3,neighborhood,cold,745
4,neighborhood,hot,104
4,state,hot,104
4,neighborhood,cold,110
4,neighborhood,cold,111
4,neighborhood,hot,112
4,neighborhood,cold,115
4,neighborhood,hot,116
4,neighborhood,hot,117
4,neighborhood,cold,118
4,neighborhood,hot,119
4,neighborhood,cold,120
4,neighborhood,hot,122
4,state,hot,122
4,neighborhood,cold,126
4,state,cold,126
4,neighborhood,hot,131
4,neighborhood,hot,132
4,neighborhood,hot,141
4,state,hot,141
4,neighborhood,hot,142
4,neighborhood,hot,143
4,neighborhood,cold,146
4,neighborhood,hot,151
4,neighborhood,hot,155
4,neighborhood,cold,162
4,neighborhood,hot,163
4,state,hot,163
4,neighborhood,hot,165
4,state,hot,165
4,neighborhood,hot,172
4,state,hot,172
4,neighborhood,hot,179
4,state,hot,179
4,neighborhood,hot,180
4,neighborhood,cold,181
4,neighborhood,hot,184
4,neighborhood,cold,196
4,state,cold,196
4,neighborhood,cold,200
4,neighborhood,cold,203
4,neighborhood,hot,204
4,neighborhood,hot,206
4,state,hot,206
4,neighborhood,hot,208
4,state,hot,208
4,neighborhood,hot,212
4,state,hot,212
4,state,hot,221
4,neighborhood,cold,222
4,neighborhood,hot,226
4,neighborhood,hot,227
4,state,hot,227
4,neighborhood,cold,228
4,state,hot,228
4,neighborhood,hot,231
4,neighborhood,cold,232
4,neighborhood,cold,234
4,state,cold,234
4,neighborhood,hot,235
4,neighborhood,cold,237
4,neighborhood,hot,240
4,neighborhood,cold,242
4,neighborhood,cold,243
4,neighborhood,hot,247
4,state,hot,247
4,neighborhood,cold,252
4,neighborhood,cold,260
4,state,cold,260
4,neighborhood,hot,263
4,neighborhood,hot,267
4,neighborhood,hot,273
4,neighborhood,hot,274
4,neighborhood,cold,275
4,neighborhood,hot,277
4,state,hot,277
4,neighborhood,hot,279
4,neighborhood,cold,282
4,neighborhood,hot,286
4,state,hot,292
4,neighborhood,hot,294
4,state,hot,294
4,neighborhood,cold,295
4,neighborhood,hot,301
4,state,hot,301
4,neighborhood,hot,302
4,neighborhood,cold,303
4,state,cold,303
4,neighborhood,hot,304
4,neighborhood,cold,308
4,state,hot,309
4,neighborhood,hot,321
4,neighborhood,hot,323
4,neighborhood,hot,326
4,neighborhood,cold,329
4,neighborhood,hot,332
4,state,hot,332
4,neighborhood,hot,333
4,neighborhood,hot,335
4,state,hot,335
4,neighborhood,cold,336
4,state,hot,337
4,neighborhood,hot,342
4,neighborhood,hot,343
4,neighborhood,hot,344
4,state,hot,344
4,neighborhood,hot,347
4,state,hot,347
4,neighborhood,hot,354
4,neighborhood,hot,355
4,neighborhood,hot,360
4,state,hot,360
4,neighborhood,hot,363
4,neighborhood,hot,364
4,neighborhood,cold,369
4,neighborhood,hot,370
4,state,hot,378
4,neighborhood,hot,380
4,state,hot,380
4,neighborhood,hot,382
4,neighborhood,hot,385
4,state,cold,387
4,neighborhood,hot,390
4,neighborhood,cold,391
4,neighborhood,cold,392
4,neighborhood,hot,395
4,state,hot,395
4,neighborhood,hot,396
4,neighborhood,cold,400
4,neighborhood,hot,407
4,neighborhood,cold,412
4,neighborhood,hot,413
4,neighborhood,hot,416
4,state,hot,416
4,neighborhood,hot,418
4,state,hot,418
4,state,hot,422
4,neighborhood,cold,424
4,neighborhood,hot,425
4,neighborhood,cold,426
4,neighborhood,hot,429
4,neighborhood,hot,431
4,state,hot,431
4,neighborhood,cold,433
4,neighborhood,cold,440
4,neighborhood,hot,445
4,state,hot,445
4,neighborhood,hot,454
4,neighborhood,hot,455
4,state,hot,455
4,neighborhood,cold,456
4,neighborhood,hot,459
4,neighborhood,cold,463
4,state,cold,463
4,neighborhood,cold,465
4,neighborhood,cold,467
4,neighborhood,hot,469
4,state,hot,469
4,neighborhood,hot,470
4,state,hot,471
4,neighborhood,cold,477
4,neighborhood,cold,489
4,neighborhood,hot,490
4,state,hot,490
4,neighborhood,hot,493
4,state,hot,493
4,neighborhood,cold,497
4,neighborhood,cold,503
4,neighborhood,hot,506
4,neighborhood,cold,511
4,neighborhood,cold,515
4,neighborhood,hot,518
4,state,hot,518
4,neighborhood,hot,520
4,state,hot,526
4,neighborhood,cold,534
4,neighborhood,cold,535
4,neighborhood,cold,536
4,neighborhood,cold,537
4,neighborhood,cold,542
4,neighborhood,hot,546
4,neighborhood,cold,548
4,neighborhood,hot,550
4,neighborhood,hot,551
4,neighborhood,cold,552
4,neighborhood,hot,553
4,state,hot,553
4,neighborhood,cold,554
4,neighborhood,cold,556
4,neighborhood,cold,558
4,neighborhood,cold,560
4,neighborhood,cold,563
4,neighborhood,cold,565
4,neighborhood,hot,566
4,neighborhood,cold,567
4,state,hot,567
4,neighborhood,cold,568
4,neighborhood,cold,569
4,neighborhood,cold,570
4,neighborhood,hot,571
4,state,hot,571
4,neighborhood,cold,572
4,neighborhood,cold,573
4,neighborhood,cold,574
4,neighborhood,cold,575
4,neighborhood,hot,579
4,state,hot,579
4,neighborhood,cold,584
4,neighborhood,hot,585
4,neighborhood,cold,591
4,neighborhood,hot,598
4,neighborhood,hot,602
4,neighborhood,hot,603
4,neighborhood,cold,605
4,neighborhood,hot,606
4,state,hot,606
4,state,hot,608
4,neighborhood,cold,609
4,neighborhood,cold,613
4,state,hot,614
4,neighborhood,cold,615
4,state,cold,615
4,neighborhood,hot,618
4,neighborhood,hot,622
4,neighborhood,hot,629
4,neighborhood,hot,637
4,state,hot,637
4,neighborhood,cold,639
4,neighborhood,hot,642
4,neighborhood,cold,661
4,neighborhood,hot,663
4,state,hot,663
4,neighborhood,cold,665
4,state,cold,665
4,neighborhood,hot,666
4,state,hot,666
4,neighborhood,hot,670
4,neighborhood,hot,672
4,state,hot,672
4,neighborhood,cold,677
4,neighborhood,cold,679
4,neighborhood,hot,682
4,state,hot,682
4,neighborhood,cold,686
4,neighborhood,cold,689
4,neighborhood,hot,693
4,neighborhood,hot,696
4,state,hot,696
4,neighborhood,hot,699
4,state,hot,699
4,neighborhood,cold,701
4,neighborhood,hot,705
4,state,hot,705
4,neighborhood,hot,715
4,state,hot,716
4,neighborhood,hot,721
4,state,cold,726
4,neighborhood,cold,730
4,neighborhood,cold,731
4,neighborhood,cold,734
4,neighborhood,cold,735
4,state,cold,735
4,neighborhood,hot,737
4,state,hot,737
4,neighborhood,hot,742
4,neighborhood,cold,743
4,neighborhood,cold,745
5,neighborhood,cold,102
5,neighborhood,hot,103
5,neighborhood,hot,104
5,state,hot,104
5,state,hot,106
5,neighborhood,cold,108
5,neighborhood,cold,110
5,state,hot,113
5,neighborhood,cold,115
5,neighborhood,cold,116
5,neighborhood,hot,119
5,neighborhood,hot,122
5,state,hot,122
5,neighborhood,cold,127
5,neighborhood,cold,128
5,neighborhood,cold,130
5,neighborhood,hot,133
5,neighborhood,cold,137
5,neighborhood,cold,146
5,neighborhood,hot,150
5,neighborhood,hot,151
5,neighborhood,hot,154
5,state,hot,154
5,state,hot,159
5,neighborhood,cold,160
5,neighborhood,hot,165
5,state,hot,165
5,neighborhood,cold,167
5,neighborhood,cold,169
5,neighborhood,cold,176
5,neighborhood,hot,179
5,state,hot,179
5,neighborhood,hot,181
5,neighborhood,hot,184
5,neighborhood,cold,185
5,neighborhood,cold,190
5,neighborhood,cold,203
5,neighborhood,cold,204
5,neighborhood,hot,206
5,state,hot,206
5,neighborhood,hot,208
5,state,hot,208
5,neighborhood,hot,212
5,state,hot,212
5,neighborhood,hot,225
5,neighborhood,hot,226
5,neighborhood,cold,228
5,state,hot,228
5,neighborhood,hot,231
5,neighborhood,cold,232
5,neighborhood,hot,235
5,neighborhood,cold,237
5,neighborhood,hot,239
5,neighborhood,hot,240
5,state,hot,240
5,neighborhood,hot,241
5,state,hot,241
5,neighborhood,cold,243
5,neighborhood,cold,245
5,state,cold,245
5,neighborhood,cold,249
5,neighborhood,hot,250
5,neighborhood,hot,252
5,neighborhood,hot,257
5,state,hot,257
5,neighborhood,cold,260
5,state,cold,260
5,neighborhood,hot,267
5,state,hot,267
5,neighborhood,hot,268
5,neighborhood,hot,270
5,state,hot,270
5,neighborhood,hot,271
5,neighborhood,hot,273
5,neighborhood,hot,277
5,state,hot,277
5,neighborhood,cold,278
5,neighborhood,hot,282
5,neighborhood,hot,289
5,state,hot,289
5,neighborhood,hot,292
5,neighborhood,hot,293
5,neighborhood,hot,297
5,state,hot,297
5,neighborhood,hot,301
5,neighborhood,hot,304
5,state,hot,304
5,neighborhood,hot,307
5,state,hot,309
5,neighborhood,hot,310
5,neighborhood,cold,313
5,neighborhood,cold,318
5,neighborhood,cold,321
5,neighborhood,cold,322
5,neighborhood,cold,323
5,neighborhood,hot,326
5,neighborhood,cold,329
5,neighborhood,hot,332
5,state,hot,332
5,neighborhood,hot,333
5,neighborhood,hot,335
5,state,hot,335
5,neighborhood,cold,336
5,neighborhood,hot,338
5,neighborhood,hot,339
5,neighborhood,cold,340
5,neighborhood,hot,342
5,neighborhood,cold,351
5,neighborhood,cold,352
5,neighborhood,hot,354
5,neighborhood,cold,355
5,neighborhood,hot,360
5,state,hot,360
5,neighborhood,cold,369
5,neighborhood,cold,370
5,neighborhood,cold,380
5,state,cold,380
5,neighborhood,hot,382
5,state,hot,382
5,neighborhood,cold,383
5,neighborhood,cold,385
5,state,cold,387
5,neighborhood,hot,390
5,neighborhood,cold,391
5,state,hot,405
5,neighborhood,cold,407
5,neighborhood,cold,411
5,neighborhood,cold,412
5,neighborhood,cold,416
5,state,cold,416
5,neighborhood,hot,417
5,neighborhood,hot,418
5,state,hot,418
5,neighborhood,cold,419
5,neighborhood,hot,420
5,neighborhood,cold,421
5,neighborhood,hot,423
5,neighborhood,hot,425
5,state,hot,425
5,neighborhood,cold,429
5,state,cold,429
5,neighborhood,cold,432
5,neighborhood,cold,433
5,neighborhood,cold,437
5,neighborhood,hot,443
5,neighborhood,hot,445
5,state,hot,445
5,neighborhood,cold,446
5,neighborhood,cold,447
5,neighborhood,cold,450
5,neighborhood,hot,454
5,state,hot,454
5,neighborhood,hot,455
5,state,hot,455
5,neighborhood,cold,457
5,neighborhood,hot,458
5,neighborhood,cold,463
5,state,cold,463
5,neighborhood,cold,478
5,neighborhood,cold,480
5,neighborhood,hot,484
5,state,hot,484
5,neighborhood,hot,487
5,neighborhood,hot,488
5,neighborhood,hot,493
5,state,hot,493
5,neighborhood,cold,495
5,neighborhood,hot,498
5,neighborhood,hot,499
5,neighborhood,hot,506
5,neighborhood,hot,507
5,state,hot,507
5,neighborhood,cold,518
5,neighborhood,hot,520
5,neighborhood,cold,523
5,neighborhood,hot,526
5,state,hot,526
5,neighborhood,cold,529
5,neighborhood,hot,532
5,neighborhood,cold,535
5,neighborhood,cold,539
5,state,hot,541
5,neighborhood,hot,544
5,neighborhood,cold,545
5,neighborhood,hot,546
5,state,hot,546
5,neighborhood,cold,550
5,neighborhood,hot,551
5,neighborhood,hot,552
5,state,hot,552
5,neighborhood,hot,553
5,state,hot,553
5,neighborhood,cold,557
5,neighborhood,cold,563
5,state,cold,563
5,neighborhood,cold,565
5,neighborhood,hot,566
5,state,hot,566
5,neighborhood,cold,567
5,state,hot,567
5,neighborhood,hot,568
5,state,hot,569
5,neighborhood,cold,570
5,neighborhood,hot,571
5,state,hot,571
5,neighborhood,cold,574
5,neighborhood,hot,575
5,neighborhood,hot,579
5,state,hot,579
5,neighborhood,hot,583
5,neighborhood,hot,584
5,neighborhood,cold,587
5,neighborhood,cold,588
5,neighborhood,hot,591
5,state,hot,591
5,neighborhood,cold,593
5,state,hot,597
5,neighborhood,hot,598
5,neighborhood,hot,599
5,neighborhood,cold,602
5,neighborhood,cold,605
5,neighborhood,hot,606
5,state,hot,606
5,neighborhood,hot,607
5,neighborhood,cold,611
5,neighborhood,hot,622
5,neighborhood,cold,627
5,neighborhood,cold,629
5,state,hot,637
5,neighborhood,cold,641
5,neighborhood,cold,642
5,neighborhood,hot,643
5,neighborhood,hot,649
5,state,hot,649
5,neighborhood,cold,661
5,neighborhood,cold,663
5,state,cold,663
5,neighborhood,hot,665
5,state,cold,665
5,neighborhood,hot,666
5,state,hot,666
5,neighborhood,hot,669
5,neighborhood,hot,672
5,state,hot,672
5,neighborhood,cold,677
5,state,hot,682
5,neighborhood,hot,684
5,state,hot,685
5,neighborhood,hot,686
5,state,hot,686
5,neighborhood,cold,689
5,neighborhood,cold,690
5,neighborhood,cold,692
5,neighborhood,cold,696
5,neighborhood,hot,701
5,state,cold,707
5,neighborhood,cold,712
5,neighborhood,hot,715
5,neighborhood,hot,723
5,neighborhood,hot,724
5,state,hot,724
5,neighborhood,hot,725
5,state,cold,726
5,neighborhood,cold,731
5,neighborhood,hot,734
5,neighborhood,cold,736
5,neighborhood,cold,737
5,neighborhood,hot,740
5,neighborhood,hot,742
5,state,hot,742
5,neighborhood,cold,745
5,neighborhood,hot,746
6,neighborhood,cold,102
6,neighborhood,hot,103
6,neighborhood,hot,104
6,state,hot,104
6,neighborhood,cold,107
6,neighborhood,hot,109
6,neighborhood,cold,110
6,state,hot,113
6,state,hot,114
6,neighborhood,cold,116
6,neighborhood,hot,119
6,neighborhood,hot,122
6,neighborhood,cold,127
6,neighborhood,cold,137
6,neighborhood,cold,138
6,neighborhood,hot,142
6,neighborhood,cold,146
6,neighborhood,hot,147
6,neighborhood,cold,151
6,neighborhood,hot,154
6,neighborhood,hot,162
6,state,hot,162
6,neighborhood,hot,165
6,state,hot,165
6,neighborhood,cold,167
6,neighborhood,cold,169
6,neighborhood,hot,170
6,state,hot,170
6,neighborhood,hot,179
6,state,hot,179
6,neighborhood,cold,180
6,neighborhood,hot,181
6,neighborhood,hot,184
6,neighborhood,cold,188
6,state,cold,188
6,neighborhood,cold,190
6,neighborhood,cold,203
6,neighborhood,hot,206
6,state,hot,206
6,neighborhood,hot,208
6,neighborhood,cold,210
6,state,cold,210
6,neighborhood,hot,212
6,state,hot,212
6,neighborhood,cold,217
6,neighborhood,hot,221
6,neighborhood,cold,224
6,neighborhood,hot,225
6,state,hot,225
6,neighborhood,hot,226
6,state,hot,227
6,state,hot,228
6,neighborhood,hot,231
6,neighborhood,hot,232
6,neighborhood,cold,234
6,neighborhood,hot,235
6,neighborhood,cold,237
6,neighborhood,hot,239
6,neighborhood,hot,240
6,state,hot,240
6,neighborhood,hot,245
6,neighborhood,hot,247
6,neighborhood,hot,250
6,neighborhood,cold,252
6,neighborhood,hot,257
6,state,hot,257
6,neighborhood,hot,258
6,neighborhood,cold,260
6,state,cold,260
6,state,cold,262
6,neighborhood,hot,263
6,state,hot,264
6,neighborhood,hot,266
6,state,hot,266
6,neighborhood,hot,267
6,state,hot,267
6,neighborhood,hot,268
6,neighborhood,hot,270
6,state,hot,270
6,state,hot,273
6,neighborhood,cold,275
6,neighborhood,cold,280
6,state,cold,280
6,neighborhood,cold,282
6,state,cold,282
6,neighborhood,cold,285
6,neighborhood,hot,292
6,neighborhood,hot,294
6,neighborhood,cold,301
6,neighborhood,hot,304
6,state,hot,304
6,neighborhood,hot,309
6,state,hot,309
6,neighborhood,hot,310
6,state,hot,310
6,neighborhood,hot,313
6,state,hot,313
6,neighborhood,cold,315
6,neighborhood,cold,316
6,neighborhood,hot,318
6,state,hot,318
6,neighborhood,cold,321
6,state,hot,322
6,neighborhood,hot,324
6,neighborhood,cold,328
6,state,cold,329
6,neighborhood,hot,332
6,state,hot,332
6,neighborhood,hot,333
6,state,hot,333
6,neighborhood,hot,335
6,state,hot,335
6,neighborhood,cold,336
6,neighborhood,hot,337
6,state,hot,337
6,neighborhood,hot,339
6,neighborhood,hot,341
6,neighborhood,hot,342
6,state,hot,342
6,neighborhood,hot,343
6,state,hot,343
6,neighborhood,hot,351
6,neighborhood,hot,354
6,neighborhood,cold,355
6,state,cold,355
6,neighborhood,hot,360
6,state,hot,360
6,neighborhood,cold,364
6,neighborhood,cold,365
6,neighborhood,cold,369
6,state,cold,369
6,neighborhood,cold,376
6,neighborhood,hot,382
6,state,hot,382
6,neighborhood,cold,383
6,neighborhood,cold,385
6,neighborhood,cold,387
6,state,cold,387
6,neighborhood,hot,390
6,state,hot,390
6,neighborhood,cold,391
6,neighborhood,hot,394
6,neighborhood,cold,395
6,neighborhood,hot,399
6,neighborhood,hot,405
6,state,hot,405
6,neighborhood,cold,407
6,state,cold,407
6,neighborhood,cold,408
6,state,cold,408
6,state,hot,409
6,neighborhood,cold,410
6,neighborhood,cold,411
6,neighborhood,cold,412
6,neighborhood,hot,416
6,neighborhood,hot,418
6,state,hot,418
6,neighborhood,cold,420
6,neighborhood,hot,421
6,neighborhood,hot,425
6,state,hot,425
6,neighborhood,cold,429
6,state,cold,429
6,neighborhood,cold,433
6,neighborhood,hot,441
6,neighborhood,hot,444
6,state,hot,444
6,neighborhood,hot,445
6,state,hot,445
6,neighborhood,cold,450
6,neighborhood,hot,454
6,state,hot,454
6,neighborhood,cold,456
6,neighborhood,hot,458
6,state,hot,458
6,neighborhood,hot,459
6,neighborhood,cold,463
6,state,cold,463
6,neighborhood,cold,466
6,neighborhood,hot,469
6,state,hot,469
6,neighborhood,cold,474
6,state,cold,474
6,neighborhood,cold,485
6,neighborhood,hot,488
6,state,hot,488
6,neighborhood,hot,493
6,state,hot,493
6,neighborhood,hot,498
6,state,hot,498
6,neighborhood,hot,499
6,neighborhood,hot,506
6,state,hot,506
6,neighborhood,hot,507
6,state,hot,507
6,neighborhood,hot,513
6,neighborhood,hot,517
6,state,hot,517
6,neighborhood,cold,518
6,state,cold,518
6,neighborhood,hot,520
6,neighborhood,cold,523
6,neighborhood,hot,526
6,state,hot,526
6,neighborhood,cold,529
6,state,cold,529
6,neighborhood,hot,532
6,neighborhood,cold,534
6,neighborhood,cold,535
6,state,cold,535
6,neighborhood,cold,537
6,neighborhood,cold,538
6,state,cold,538
6,neighborhood,hot,539
6,neighborhood,cold,542
6,state,cold,542
6,neighborhood,hot,544
6,state,hot,544
6,neighborhood,hot,546
6,state,hot,546
6,neighborhood,hot,549
6,state,hot,549
6,neighborhood,hot,550
6,neighborhood,hot,552
6,state,hot,552
6,neighborhood,hot,553
6,state,hot,553
6,neighborhood,cold,554
