timeid,method,spot,districtid
1,neighborhood,cold,320
1,neighborhood,cold,321
1,neighborhood,cold,323
1,neighborhood,hot,324
1,neighborhood,cold,329
1,state,cold,329
1,neighborhood,hot,332
1,state,hot,332
1,neighborhood,hot,333
1,state,hot,333
1,neighborhood,hot,335
1,state,hot,335
1,neighborhood,cold,336
1,state,hot,337
1,neighborhood,hot,339
1,neighborhood,hot,342
1,state,hot,342
1,neighborhood,cold,344
1,neighborhood,hot,354
1,neighborhood,cold,355
1,neighborhood,cold,356
1,neighborhood,cold,357
1,neighborhood,cold,358
1,neighborhood,hot,360
1,state,hot,360
1,neighborhood,cold,364
1,neighborhood,cold,369
1,state,hot,378
1,neighborhood,hot,382
1,state,hot,382
1,neighborhood,cold,383
1,neighborhood,cold,385
1,state,cold,387
1,neighborhood,cold,391
1,neighborhood,cold,398
1,neighborhood,cold,399
1,neighborhood,cold,400
1,neighborhood,hot,405
1,state,hot,405
1,neighborhood,cold,408
1,state,cold,408
1,neighborhood,cold,409
1,neighborhood,cold,410
1,neighborhood,cold,411
1,neighborhood,cold,412
1,neighborhood,hot,413
1,state,hot,413
1,neighborhood,hot,416
1,state,hot,416
1,neighborhood,hot,417
1,neighborhood,hot,418
1,state,hot,418
1,neighborhood,cold,419
1,neighborhood,cold,420
1,neighborhood,hot,425
1,state,hot,425
1,neighborhood,cold,429
1,state,cold,429
1,neighborhood,hot,431
1,neighborhood,hot,433
1,neighborhood,hot,434
1,neighborhood,hot,443
1,neighborhood,hot,445
1,state,hot,445
1,neighborhood,cold,446
1,neighborhood,cold,449
1,neighborhood,cold,450
1,neighborhood,hot,454
1,state,hot,454
1,neighborhood,hot,455
1,state,hot,455
1,neighborhood,hot,456
1,state,hot,456
1,neighborhood,cold,457
1,neighborhood,hot,458
1,neighborhood,hot,459
1,neighborhood,cold,463
1,state,cold,463
1,neighborhood,hot,469
1,state,hot,469
1,neighborhood,hot,470
1,neighborhood,cold,478
1,neighborhood,cold,480
1,neighborhood,hot,481
1,neighborhood,hot,487
1,neighborhood,hot,488
1,neighborhood,cold,489
1,neighborhood,hot,493
1,state,hot,493
1,neighborhood,hot,498
1,neighborhood,hot,499
1,neighborhood,hot,506
1,neighborhood,hot,507
1,neighborhood,hot,513
1,neighborhood,cold,519
1,neighborhood,cold,523
1,neighborhood,hot,526
1,state,hot,526
1,neighborhood,cold,529
1,neighborhood,cold,535
1,neighborhood,cold,536
1,neighborhood,cold,537
1,neighborhood,cold,538
1,neighborhood,cold,542
1,neighborhood,hot,544
1,neighborhood,cold,545
1,neighborhood,hot,546
1,state,hot,546
1,neighborhood,hot,548
1,neighborhood,cold,550
1,neighborhood,hot,552
1,state,hot,552
1,neighborhood,hot,553
1,state,hot,553
1,neighborhood,cold,556
1,neighborhood,cold,557
1,neighborhood,cold,560
1,neighborhood,cold,562
1,neighborhood,cold,563
1,neighborhood,cold,565
1,neighborhood,hot,566
1,state,hot,566
1,neighborhood,hot,567
1,state,hot,567
1,neighborhood,hot,571
1,state,hot,571
1,neighborhood,cold,574
1,neighborhood,hot,579
1,state,hot,579
1,neighborhood,hot,583
1,neighborhood,hot,584
1,neighborhood,cold,585
1,neighborhood,hot,591
1,state,hot,591
1,neighborhood,cold,593
1,neighborhood,hot,599
1,neighborhood,cold,600
1,neighborhood,cold,605
1,neighborhood,cold,606
1,neighborhood,hot,607
1,neighborhood,cold,611
1,neighborhood,cold,622
1,neighborhood,hot,624
1,neighborhood,cold,627
1,neighborhood,cold,629
1,neighborhood,cold,631
1,neighborhood,cold,634
1,neighborhood,cold,636
1,neighborhood,cold,639
1,neighborhood,cold,641
1,state,hot,641
1,neighborhood,cold,642
1,neighborhood,cold,646
1,neighborhood,cold,648
1,state,hot,649
1,neighborhood,hot,652
1,neighborhood,cold,661
1,neighborhood,cold,663
1,neighborhood,hot,665
1,neighborhood,hot,666
1,state,hot,666
1,neighborhood,hot,669
1,neighborhood,hot,672
1,state,hot,672
1,neighborhood,cold,677
1,neighborhood,cold,678
1,neighborhood,cold,679
1,neighborhood,hot,682
1,state,hot,682
1,neighborhood,hot,686
1,state,hot,686
1,state,hot,699
1,neighborhood,cold,707
1,neighborhood,cold,708
1,neighborhood,hot,710
1,neighborhood,cold,712
1,neighborhood,cold,713
1,neighborhood,hot,715
1,neighborhood,hot,718
1,state,hot,718
1,neighborhood,cold,721
1,neighborhood,hot,724
1,state,cold,726
1,neighborhood,cold,731
1,state,cold,732
1,neighborhood,hot,734
1,neighborhood,cold,736
1,neighborhood,hot,737
1,neighborhood,hot,740
1,neighborhood,hot,742
1,state,hot,742
